product_id,product_name,category,price,cost,stock
P001,美式咖啡,经典咖啡,28.00,11.00,100
P002,拿铁,经典咖啡,32.00,13.00,198
P003,卡布奇诺,经典咖啡,32.00,13.00,74
P004,摩卡,经典咖啡,35.00,14.00,168
P005,焦糖玛奇朵,经典咖啡,35.00,14.00,155
P006,浓缩咖啡,经典咖啡,22.00,9.00,113
P007,馥芮白,经典咖啡,36.00,14.00,83
P008,抹茶星冰乐,星冰乐,38.00,15.00,60
P009,焦糖星冰乐,星冰乐,36.00,14.00,58
P010,摩卡星冰乐,星冰乐,36.00,14.00,144
P011,咖啡星冰乐,星冰乐,34.00,14.00,115
P012,抹茶拿铁,茶饮,34.00,14.00,148
P013,红茶拿铁,茶饮,32.00,13.00,94
P014,冰摇柠檬茶,茶饮,28.00,11.00,80
P015,冰摇桃桃绿茶,茶饮,30.00,12.00,185
P016,冷萃咖啡,冷萃,36.00,14.00,64
P017,气致冷萃,冷萃,42.00,17.00,87
P018,燕麦奶冷萃,冷萃,38.00,15.00,60
P019,樱花拿铁,特调饮品,38.00,15.00,153
P020,太妃榛果拿铁,特调饮品,38.00,15.00,188
